,nan_data_percentage
SK_ID_CURR,0.0
TARGET,0.0
NAME_CONTRACT_TYPE,0.0
CODE_GENDER,0.0
FLAG_OWN_CAR,0.0
FLAG_OWN_REALTY,0.0
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.0
AMT_CREDIT,0.0
AMT_ANNUITY,3.9022994299390916e-05
AMT_GOODS_PRICE,0.0009040327012692228
NAME_TYPE_SUITE,0.004201475719567756
NAME_INCOME_TYPE,0.0
NAME_EDUCATION_TYPE,0.0
NAME_FAMILY_STATUS,0.0
NAME_HOUSING_TYPE,0.0
REGION_POPULATION_RELATIVE,0.0
DAYS_BIRTH,0.0
DAYS_EMPLOYED,0.0
DAYS_REGISTRATION,0.0
DAYS_ID_PUBLISH,0.0
OWN_CAR_AGE,0.6599081008484249
FLAG_MOBIL,0.0
FLAG_EMP_PHONE,0.0
FLAG_WORK_PHONE,0.0
FLAG_CONT_MOBILE,0.0
FLAG_PHONE,0.0
FLAG_EMAIL,0.0
OCCUPATION_TYPE,0.31345545362604915
CNT_FAM_MEMBERS,6.503832383231819e-06
REGION_RATING_CLIENT,0.0
REGION_RATING_CLIENT_W_CITY,0.0
WEEKDAY_APPR_PROCESS_START,0.0
HOUR_APPR_PROCESS_START,0.0
REG_REGION_NOT_LIVE_REGION,0.0
REG_REGION_NOT_WORK_REGION,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
ORGANIZATION_TYPE,0.0
EXT_SOURCE_1,0.5638107254699832
EXT_SOURCE_2,0.0021462646864665006
EXT_SOURCE_3,0.19825307062186392
APARTMENTS_AVG,0.5074972927797705
BASEMENTAREA_AVG,0.5851595552679416
YEARS_BEGINEXPLUATATION_AVG,0.48781019215572774
YEARS_BUILD_AVG,0.6649778381911542
COMMONAREA_AVG,0.6987229725115525
ELEVATORS_AVG,0.532959796560123
ENTRANCES_AVG,0.503487680115508
FLOORSMAX_AVG,0.4976082156410665
FLOORSMIN_AVG,0.6784862980511266
LANDAREA_AVG,0.5937673774271489
LIVINGAPARTMENTS_AVG,0.6835495315614726
LIVINGAREA_AVG,0.5019332641759157
NONLIVINGAPARTMENTS_AVG,0.6943296337366793
NONLIVINGAREA_AVG,0.5517916432257708
APARTMENTS_MODE,0.5074972927797705
BASEMENTAREA_MODE,0.5851595552679416
YEARS_BEGINEXPLUATATION_MODE,0.48781019215572774
YEARS_BUILD_MODE,0.6649778381911542
COMMONAREA_MODE,0.6987229725115525
ELEVATORS_MODE,0.532959796560123
ENTRANCES_MODE,0.503487680115508
FLOORSMAX_MODE,0.4976082156410665
FLOORSMIN_MODE,0.6784862980511266
LANDAREA_MODE,0.5937673774271489
LIVINGAPARTMENTS_MODE,0.6835495315614726
LIVINGAREA_MODE,0.5019332641759157
NONLIVINGAPARTMENTS_MODE,0.6943296337366793
NONLIVINGAREA_MODE,0.5517916432257708
APARTMENTS_MEDI,0.5074972927797705
BASEMENTAREA_MEDI,0.5851595552679416
YEARS_BEGINEXPLUATATION_MEDI,0.48781019215572774
YEARS_BUILD_MEDI,0.6649778381911542
COMMONAREA_MEDI,0.6987229725115525
ELEVATORS_MEDI,0.532959796560123
ENTRANCES_MEDI,0.503487680115508
FLOORSMAX_MEDI,0.4976082156410665
FLOORSMIN_MEDI,0.6784862980511266
LANDAREA_MEDI,0.5937673774271489
LIVINGAPARTMENTS_MEDI,0.6835495315614726
LIVINGAREA_MEDI,0.5019332641759157
NONLIVINGAPARTMENTS_MEDI,0.6943296337366793
NONLIVINGAREA_MEDI,0.5517916432257708
FONDKAPREMONT_MODE,0.6838617155158677
HOUSETYPE_MODE,0.50176091261776
TOTALAREA_MODE,0.4826851722377411
WALLSMATERIAL_MODE,0.508407829313423
EMERGENCYSTATE_MODE,0.47398304450897694
OBS_30_CNT_SOCIAL_CIRCLE,0.0033202064316398437
DEF_30_CNT_SOCIAL_CIRCLE,0.0033202064316398437
OBS_60_CNT_SOCIAL_CIRCLE,0.0033202064316398437
DEF_60_CNT_SOCIAL_CIRCLE,0.0033202064316398437
DAYS_LAST_PHONE_CHANGE,3.2519161916159095e-06
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_3,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_DAY,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_WEEK,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_MON,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_QRT,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_YEAR,0.13501630835970097
